symptom_description,disease_label,cleaned,processed,num_label
"I have been dealing with my throat feels irritated and I feel food coming back up, and I also notice heavy meals make it worse. It feels pretty intense today. I feel off in myself. At the same time, i do not have a fever.",GERD,i have been dealing with my throat feels irritated and i feel food coming back up and i also notice heavy meals make it worse it feels pretty intense today i feel off in myself at the same time i do not have a fever,deal throat feel irritated feel food come notice heavy meal bad feel pretty intense today feel time not fever,16
"Lately, I have been dealing with ear pain, there has been some fluid from my ear, and the side of my face feels sore for since yesterday. It feels moderate and annoying. I am finding it hard to focus. Also, i do not have diarrhea. I do not think it is from anything obvious.",Ear Infection,lately i have been dealing with ear pain there has been some fluid from my ear and the side of my face feels sore for since yesterday it feels moderate and annoying i am finding it hard to focus also i do not have diarrhea i do not think it is from anything obvious,lately deal ear pain fluid ear face feel sore yesterday feel moderate annoying find hard focus not diarrhea not think obvious,13
"I have been dealing with ear pain and the side of my face feels sore, and I also notice the pain is worse when I lie down. It feels severe and hard to ignore. I feel rough overall. One thing I can say is, i do not have swollen finger joints.",Ear Infection,i have been dealing with ear pain and the side of my face feels sore and i also notice the pain is worse when i lie down it feels severe and hard to ignore i feel rough overall one thing i can say is i do not have swollen finger joints,deal ear pain face feel sore notice pain bad lie feel severe hard ignore feel rough overall thing not swollen finger joint,13
"I started with the symptoms came on suddenly, and now I also have my words are coming out wrong and my smile feels uneven. It feels severe and hard to ignore. One thing I can say is, i do not have a runny nose. I notice it more at certain times of day.",Stroke,i started with the symptoms came on suddenly and now i also have my words are coming out wrong and my smile feels uneven it feels severe and hard to ignore one thing i can say is i do not have a runny nose i notice it more at certain times of day,start symptom come suddenly word come wrong smile feel uneven feel severe hard ignore thing not runny nose notice certain time day,30
"I have had dry itchy skin for for several days, and I keep noticing itching that gets worse at night as well as some patches are flaky. It has been a real nuisance. At the same time, i do not have a cough.",Eczema,i have had dry itchy skin for for several days and i keep noticing itching that gets worse at night as well as some patches are flaky it has been a real nuisance at the same time i do not have a cough,dry itchy skin day notice itching get bad night patch flaky real nuisance time not cough,14
"I have been noticing my face looks a bit puffy, I feel sluggish, and my thinking feels slow for more and more lately. It feels moderate and annoying. it is making simple tasks feel harder. On top of that, i do not have a cough. I notice it more at certain times of day.",Hypothyroidism,i have been noticing my face looks a bit puffy i feel sluggish and my thinking feels slow for more and more lately it feels moderate and annoying it is making simple tasks feel harder on top of that i do not have a cough i notice it more at certain times of day,notice face look bit puffy feel sluggish thinking feel slow lately feel moderate annoying make simple task feel hard not cough notice certain time day,21
"I have been dealing with I have noticed some weight change and feeling very thirsty, and I also notice I keep going to the toilet more often. It comes and goes but keeps bothering me. It is knocking me about. At the same time, i do not have a sore throat.",Type 2 Diabetes,i have been dealing with i have noticed some weight change and feeling very thirsty and i also notice i keep going to the toilet more often it comes and goes but keeps bothering me it is knocking me about at the same time i do not have a sore throat,deal notice weight change feel thirsty notice go toilet come go keep bother knock time not sore throat,33
"Lately I feel like I have I sometimes feel fine but my readings stay high, I noticed it during a blood pressure check, and the headache is dull rather than sharp. it is getting in the way of my normal day. It comes and goes but keeps bothering me. At least, i do not have a cough.",Hypertension,lately i feel like i have i sometimes feel fine but my readings stay high i noticed it during a blood pressure check and the headache is dull rather than sharp it is getting in the way of my normal day it comes and goes but keeps bothering me at least i do not have a cough,lately feel like feel fine reading stay high notice blood pressure check headache dull sharp get way normal day come go keep bother not cough,20
"I started with feeling tired most days, and now I also have I get hungry again quickly and feeling very thirsty. It feels severe and hard to ignore. On top of that, i do not have a cough. I have not noticed much improvement.",Type 2 Diabetes,i started with feeling tired most days and now i also have i get hungry again quickly and feeling very thirsty it feels severe and hard to ignore on top of that i do not have a cough i have not noticed much improvement,start feel tired day hungry quickly feel thirsty feel severe hard ignore not cough not notice improvement,33
"For for a while now, I have been dealing with the area stings when I scratch, a rash in the bends of my arms, and dry itchy skin. it is making simple tasks feel harder. I feel rough overall. One thing I can say is, i do not have a cough.",Eczema,for for a while now i have been dealing with the area stings when i scratch a rash in the bends of my arms and dry itchy skin it is making simple tasks feel harder i feel rough overall one thing i can say is i do not have a cough,deal area sting scratch rash bend arm dry itchy skin make simple task feel hard feel rough overall thing not cough,14
"Lately I feel like I have fever, loss of smell and taste, and feeling very tired. I am sleeping poorly because of it. It feels severe and hard to ignore. One thing I can say is, i do not have burning when i pee.",COVID-19,lately i feel like i have fever loss of smell and taste and feeling very tired i am sleeping poorly because of it it feels severe and hard to ignore one thing i can say is i do not have burning when i pee,lately feel like fever loss smell taste feel tired sleep poorly feel severe hard ignore thing not burn pee,8
"I have been dealing with I have trouble sleeping and I feel panicky without a clear reason, and I also notice restlessness that I cannot settle. It feels pretty intense today. I feel rough overall. One thing I can say is, i do not have vomiting.",Anxiety Disorder,i have been dealing with i have trouble sleeping and i feel panicky without a clear reason and i also notice restlessness that i cannot settle it feels pretty intense today i feel rough overall one thing i can say is i do not have vomiting,deal trouble sleep feel panicky without clear reason notice restlessness not settle feel pretty intense today feel rough overall thing not vomit,3
"I started with I get breathless more easily, and now I also have my throat feels sore and I feel wiped out. It feels severe and hard to ignore. Also, i do not have ear pain. I have not noticed much improvement.",COVID-19,i started with i get breathless more easily and now i also have my throat feels sore and i feel wiped out it feels severe and hard to ignore also i do not have ear pain i have not noticed much improvement,start breathless easily throat feel sore feel wipe feel severe hard ignore not ear pain not notice improvement,8
"I feel it feels like a tight strap around my head, neck tension with a headache, and aching in my temples today. It feels moderate and annoying. I am struggling to get through the day. I feel off in myself. At the same time, i do not have a rash.",Tension Headache,i feel it feels like a tight strap around my head neck tension with a headache and aching in my temples today it feels moderate and annoying i am struggling to get through the day i feel off in myself at the same time i do not have a rash,feel feel like tight strap head neck tension headache ache temple today feel moderate annoying struggle day feel time not rash,31
"I have been dealing with high fever and extreme tiredness, and I also notice strong body aches. It feels moderate and annoying. It has been a real nuisance. At least, i do not have burning when i pee.",Influenza,i have been dealing with high fever and extreme tiredness and i also notice strong body aches it feels moderate and annoying it has been a real nuisance at least i do not have burning when i pee,deal high fever extreme tiredness notice strong body ache feel moderate annoying real nuisance not burn pee,23
"Since earlier, I have had I feel drained, I get hungry again quickly, and feeling tired most days for more and more lately. It feels moderate and annoying. I am struggling to get through the day. Also, i do not have vomiting. I have been trying to take it easy.",Type 2 Diabetes,since earlier i have had i feel drained i get hungry again quickly and feeling tired most days for more and more lately it feels moderate and annoying i am struggling to get through the day also i do not have vomiting i have been trying to take it easy,early feel drain hungry quickly feel tired day lately feel moderate annoying struggle day not vomit try easy,33
"For on and off recently, I have noticed mild headaches, repeated high blood pressure readings, and occasional dizziness. Also, i do not have burning when i pee. it is making simple tasks feel harder. I have been trying to take it easy.",Hypertension,for on and off recently i have noticed mild headaches repeated high blood pressure readings and occasional dizziness also i do not have burning when i pee it is making simple tasks feel harder i have been trying to take it easy,recently notice mild headache repeat high blood pressure reading occasional dizziness not burn pee make simple task feel hard try easy,20
"For for weeks, I have noticed my sleep is off, feeling empty, and loss of interest in things I usually enjoy. At least, i do not have a rash. I am noticing it more as the day goes on. I notice it more at certain times of day.",Depression,for for weeks i have noticed my sleep is off feeling empty and loss of interest in things i usually enjoy at least i do not have a rash i am noticing it more as the day goes on i notice it more at certain times of day,week notice sleep feel loss interest thing usually enjoy not rash notice day go notice certain time day,12
"Lately I feel like I have the cramps come in waves, feeling sick after eating, and my stomach is churning. it is making simple tasks feel harder. It feels mild but persistent. One thing I can say is, i do not have a blocked nose.",Food Poisoning,lately i feel like i have the cramps come in waves feeling sick after eating and my stomach is churning it is making simple tasks feel harder it feels mild but persistent one thing i can say is i do not have a blocked nose,lately feel like cramp come wave feel sick eat stomach churn make simple task feel hard feel mild persistent thing not block nose,15
"I feel my face looks a bit puffy, my energy is very low, and feeling tired all the time today. It feels mild but persistent. I am sleeping poorly because of it. It is knocking me about. At the same time, i do not have burning when i pee.",Hypothyroidism,i feel my face looks a bit puffy my energy is very low and feeling tired all the time today it feels mild but persistent i am sleeping poorly because of it it is knocking me about at the same time i do not have burning when i pee,feel face look bit puffy energy low feel tired time today feel mild persistent sleep poorly knock time not burn pee,21
"I started with a dull band like headache, and now I also have pressure at the back of my head and it feels like a tight strap around my head. It feels mild but persistent. At least, i do not have vomiting. I have been trying to take it easy.",Tension Headache,i started with a dull band like headache and now i also have pressure at the back of my head and it feels like a tight strap around my head it feels mild but persistent at least i do not have vomiting i have been trying to take it easy,start dull band like headache pressure head feel like tight strap head feel mild persistent not vomit try easy,31
"Lately I feel like I have my head hurts, my throat is sore, and I want to stay in bed all day. I am sleeping poorly because of it. It feels pretty intense today. One thing I can say is, i do not have a rash.",Influenza,lately i feel like i have my head hurts my throat is sore and i want to stay in bed all day i am sleeping poorly because of it it feels pretty intense today one thing i can say is i do not have a rash,lately feel like head hurt throat sore want stay bed day sleep poorly feel pretty intense today thing not rash,23
"Since earlier, I have had pain when I swallow, a very sore throat, and my glands feel swollen for for two days. It feels mild but persistent. I am finding it hard to focus. At the same time, i do not have stomach cramps. I do not think it is from anything obvious.",Tonsillitis,since earlier i have had pain when i swallow a very sore throat and my glands feel swollen for for two days it feels mild but persistent i am finding it hard to focus at the same time i do not have stomach cramps i do not think it is from anything obvious,early pain swallow sore throat gland feel swollen day feel mild persistent find hard focus time not stomach cramp not think obvious,32
"For the past week, I have been dealing with my skin feels oily, deep tender spots under my skin, and the breakouts keep flaring up. I am struggling to get through the day. I feel off in myself. At the same time, i do not feel sick otherwise.",Acne,for the past week i have been dealing with my skin feels oily deep tender spots under my skin and the breakouts keep flaring up i am struggling to get through the day i feel off in myself at the same time i do not feel sick otherwise,past week deal skin feel oily deep tender spot skin breakout flare struggle day feel time not feel sick,0
"For for a day or two, I have noticed the cramps keep coming back, I feel dehydrated, and stomach cramps. One thing I can say is, i do not have itchy eyes. I am sleeping poorly because of it. I do not think it is from anything obvious.",Gastroenteritis,for for a day or two i have noticed the cramps keep coming back i feel dehydrated and stomach cramps one thing i can say is i do not have itchy eyes i am sleeping poorly because of it i do not think it is from anything obvious,day notice cramp come feel dehydrated stomach cramp thing not itchy eye sleep poorly not think obvious,17
"For since last night, I have been dealing with spots all over my body, itching that keeps spreading, and the spots are at different stages. I am struggling to get through the day. I feel off in myself. At the same time, i do not have burning when i pee.",Chickenpox,for since last night i have been dealing with spots all over my body itching that keeps spreading and the spots are at different stages i am struggling to get through the day i feel off in myself at the same time i do not have burning when i pee,night deal spot body itching keep spread spot different stage struggle day feel time not burn pee,9
"I have had constipation for for months, and I keep noticing my face looks a bit puffy as well as feeling tired all the time. It has been a real nuisance. Also, i do not have diarrhea.",Hypothyroidism,i have had constipation for for months and i keep noticing my face looks a bit puffy as well as feeling tired all the time it has been a real nuisance also i do not have diarrhea,constipation month notice face look bit puffy feel tired time real nuisance not diarrhea,21
"I feel burning in my chest after meals, discomfort that gets worse when I lie down, and my throat feels irritated today. It feels moderate and annoying. I am finding it hard to focus. I feel rough overall. One thing I can say is, i do not have a fever.",GERD,i feel burning in my chest after meals discomfort that gets worse when i lie down and my throat feels irritated today it feels moderate and annoying i am finding it hard to focus i feel rough overall one thing i can say is i do not have a fever,feel burn chest meal discomfort get bad lie throat feel irritated today feel moderate annoying find hard focus feel rough overall thing not fever,16
"I have had tightness around my forehead for on and off lately, and I keep noticing stress seems to bring it on as well as a dull band like headache. It is really starting to get on my nerves. At least, i do not have flashing lights.",Tension Headache,i have had tightness around my forehead for on and off lately and i keep noticing stress seems to bring it on as well as a dull band like headache it is really starting to get on my nerves at least i do not have flashing lights,tightness forehead lately notice stress bring dull band like headache start nerve not flash light,31
"I feel I feel uncomfortable in my pelvis, feeling like I need to pee again right away, and I have pressure in my lower abdomen today. It feels severe and hard to ignore. I am finding it hard to focus. I feel off in myself. At least, i do not have chest tightness.",UTI,i feel i feel uncomfortable in my pelvis feeling like i need to pee again right away and i have pressure in my lower abdomen today it feels severe and hard to ignore i am finding it hard to focus i feel off in myself at least i do not have chest tightness,feel feel uncomfortable pelvis feeling like need pee right away pressure low abdomen today feel severe hard ignore find hard focus feel not chest tightness,34
"Lately I feel like I have I feel like I got hit by a truck, high fever, and strong body aches. it is making simple tasks feel harder. It feels moderate and annoying. At the same time, i do not have ear discharge.",Influenza,lately i feel like i have i feel like i got hit by a truck high fever and strong body aches it is making simple tasks feel harder it feels moderate and annoying at the same time i do not have ear discharge,lately feel like feel like get hit truck high fever strong body ache make simple task feel hard feel moderate annoying time not ear discharge,23
"I feel fever, chest pain when I breathe deeply, and a deep cough today. It feels pretty intense today. it is getting in the way of my normal day. It is knocking me about. Also, i do not have itchy eyes.",Pneumonia,i feel fever chest pain when i breathe deeply and a deep cough today it feels pretty intense today it is getting in the way of my normal day it is knocking me about also i do not have itchy eyes,feel fever chest pain breathe deeply deep cough today feel pretty intense today get way normal day knock not itchy eye,26
"I started with I feel sluggish, and now I also have my hair feels thinner and feeling cold more than usual. It feels pretty intense today. On top of that, i do not have burning when i pee. I have not noticed much improvement.",Hypothyroidism,i started with i feel sluggish and now i also have my hair feels thinner and feeling cold more than usual it feels pretty intense today on top of that i do not have burning when i pee i have not noticed much improvement,start feel sluggish hair feel thin feel cold usual feel pretty intense today not burn pee not notice improvement,21
"I have had some patches are flaky for on and off lately, and I keep noticing itching that gets worse at night as well as my skin feels rough. I feel rough overall. At the same time, i do not have burning when i pee.",Eczema,i have had some patches are flaky for on and off lately and i keep noticing itching that gets worse at night as well as my skin feels rough i feel rough overall at the same time i do not have burning when i pee,patch flaky lately notice itching get bad night skin feel rough feel rough overall time not burn pee,14
"For on and off this week, I have noticed burning in my chest after meals, acid coming up into my throat, and my throat feels irritated. At least, i do not have a fever. it is making simple tasks feel harder. I notice it more at certain times of day.",GERD,for on and off this week i have noticed burning in my chest after meals acid coming up into my throat and my throat feels irritated at least i do not have a fever it is making simple tasks feel harder i notice it more at certain times of day,week notice burn chest meal acid come throat throat feel irritated not fever make simple task feel hard notice certain time day,16
"I have had pressure inside my ear for for a few days, and I keep noticing reduced hearing on one side as well as ear pain. It is really starting to get on my nerves. At the same time, i do not have a skin rash.",Ear Infection,i have had pressure inside my ear for for a few days and i keep noticing reduced hearing on one side as well as ear pain it is really starting to get on my nerves at the same time i do not have a skin rash,pressure inside ear day notice reduce hearing ear pain start nerve time not skin rash,13
"I have had I find it hard to focus, persistent low mood, and even small tasks feel heavy for for a long time. It feels severe and hard to ignore. I am noticing it more as the day goes on. At the same time, i do not have vomiting. I do not think it is from anything obvious.",Depression,i have had i find it hard to focus persistent low mood and even small tasks feel heavy for for a long time it feels severe and hard to ignore i am noticing it more as the day goes on at the same time i do not have vomiting i do not think it is from anything obvious,find hard focus persistent low mood small task feel heavy long time feel severe hard ignore notice day go time not vomit not think obvious,12
"For for the past day, I have noticed diarrhea, vomiting, and stomach cramps. At the same time, i do not have ear pain. I am uncomfortable enough that it is affecting my routine. I have not noticed much improvement.",Gastroenteritis,for for the past day i have noticed diarrhea vomiting and stomach cramps at the same time i do not have ear pain i am uncomfortable enough that it is affecting my routine i have not noticed much improvement,past day notice diarrhea vomiting stomach cramp time not ear pain uncomfortable affect routine not notice improvement,17
"For for a couple of days, I have been dealing with a cough that gets worse at night, I feel breathless around dust, and my chest feels tight after walking. I am noticing it more as the day goes on. I feel rough overall. Also, i do not have crushing chest pain.",Asthma,for for a couple of days i have been dealing with a cough that gets worse at night i feel breathless around dust and my chest feels tight after walking i am noticing it more as the day goes on i feel rough overall also i do not have crushing chest pain,couple day deal cough get bad night feel breathless dust chest feel tight walk notice day go feel rough overall not crush chest pain,6
"For for several hours, I have noticed severe pain in my side, nausea from the pain, and waves of sharp pain. At the same time, i do not have a sore throat. I am noticing it more as the day goes on. it does not seem to settle fully.",Kidney Stones,for for several hours i have noticed severe pain in my side nausea from the pain and waves of sharp pain at the same time i do not have a sore throat i am noticing it more as the day goes on it does not seem to settle fully,hour notice severe pain nausea pain wave sharp pain time not sore throat notice day go not settle fully,24
"Lately I feel like I have I feel food coming back up, acid coming up into my throat, and discomfort that gets worse when I lie down. I am noticing it more as the day goes on. It feels mild but persistent. Also, i do not have a fever.",GERD,lately i feel like i have i feel food coming back up acid coming up into my throat and discomfort that gets worse when i lie down i am noticing it more as the day goes on it feels mild but persistent also i do not have a fever,lately feel like feel food come acid come throat discomfort get bad lie notice day go feel mild persistent not fever,16
"I have had my head hurts for since yesterday, and I keep noticing my throat is sore as well as extreme tiredness. It is knocking me about. One thing I can say is, i do not have ear discharge.",Influenza,i have had my head hurts for since yesterday and i keep noticing my throat is sore as well as extreme tiredness it is knocking me about one thing i can say is i do not have ear discharge,head hurt yesterday notice throat sore extreme tiredness knock thing not ear discharge,23
"For a few days, I have been dealing with deep tender spots under my skin, the breakouts keep flaring up, and a few bumps have pus in them. I am sleeping poorly because of it. I feel rough overall. At least, i do not notice any cough.",Acne,for a few days i have been dealing with deep tender spots under my skin the breakouts keep flaring up and a few bumps have pus in them i am sleeping poorly because of it i feel rough overall at least i do not notice any cough,day deal deep tender spot skin breakout flare bump pus sleep poorly feel rough overall not notice cough,0
"For for two days, I have been dealing with I feel wiped out, I have a headache, and I feel shivery. it is making simple tasks feel harder. It is really starting to get on my nerves. One thing I can say is, i do not notice swollen joints.",COVID-19,for for two days i have been dealing with i feel wiped out i have a headache and i feel shivery it is making simple tasks feel harder it is really starting to get on my nerves one thing i can say is i do not notice swollen joints,day deal feel wipe headache feel shivery make simple task feel hard start nerve thing not notice swollen joint,8
"I have been noticing blurred vision, slow healing cuts, and my mouth feels dry for for months. It feels pretty intense today. it is making simple tasks feel harder. At the same time, i do not have a sore throat. I notice it more at certain times of day.",Type 2 Diabetes,i have been noticing blurred vision slow healing cuts and my mouth feels dry for for months it feels pretty intense today it is making simple tasks feel harder at the same time i do not have a sore throat i notice it more at certain times of day,notice blur vision slow healing cut mouth feel dry month feel pretty intense today make simple task feel hard time not sore throat notice certain time day,33
"Lately I feel like I have redness around my toe joint, sudden severe pain in my big toe, and the area looks inflamed. I am noticing it more as the day goes on. It comes and goes but keeps bothering me. Also, i do not have burning when i pee.",Gout,lately i feel like i have redness around my toe joint sudden severe pain in my big toe and the area looks inflamed i am noticing it more as the day goes on it comes and goes but keeps bothering me also i do not have burning when i pee,lately feel like redness toe joint sudden severe pain big toe area looks inflame notice day go come go keep bother not burn pee,18
"I have been dealing with my joints feel creaky and the pain gets worse after activity, and I also notice it takes me time to loosen up. It comes and goes but keeps bothering me. I feel rough overall. At the same time, i do not have burning when i pee.",Arthritis,i have been dealing with my joints feel creaky and the pain gets worse after activity and i also notice it takes me time to loosen up it comes and goes but keeps bothering me i feel rough overall at the same time i do not have burning when i pee,deal joint feel creaky pain get bad activity notice take time loosen come go keep bother feel rough overall time not burn pee,5
"For since yesterday, I have noticed a runny nose that will not stop, the symptoms get worse outside, and a blocked nose. At the same time, i do not feel flu like. I am uncomfortable enough that it is affecting my routine. I have been trying to take it easy.",Allergic Rhinitis,for since yesterday i have noticed a runny nose that will not stop the symptoms get worse outside and a blocked nose at the same time i do not feel flu like i am uncomfortable enough that it is affecting my routine i have been trying to take it easy,yesterday notice runny nose not stop symptom bad outside block nose time not feel flu like uncomfortable affect routine try easy,1
"For for two days, I have been dealing with a sore throat, nasal congestion, and I have mild sinus pressure. I am finding it hard to focus. It is really starting to get on my nerves. At least, i do not have severe body aches.",Common Cold,for for two days i have been dealing with a sore throat nasal congestion and i have mild sinus pressure i am finding it hard to focus it is really starting to get on my nerves at least i do not have severe body aches,day deal sore throat nasal congestion mild sinus pressure find hard focus start nerve not severe body ache,10
"I started with sudden severe pain in my big toe, and now I also have pain that is worst at night and the joint feels very tender. It feels severe and hard to ignore. On top of that, i do not have a sore throat. I do not think it is from anything obvious.",Gout,i started with sudden severe pain in my big toe and now i also have pain that is worst at night and the joint feels very tender it feels severe and hard to ignore on top of that i do not have a sore throat i do not think it is from anything obvious,start sudden severe pain big toe pain bad night joint feel tender feel severe hard ignore not sore throat not think obvious,18
"I have had sharp joint pain for all of a sudden today, and I keep noticing redness around my toe joint as well as even the bedsheet hurts against it. I feel rough overall. At least, i do not have vomiting.",Gout,i have had sharp joint pain for all of a sudden today and i keep noticing redness around my toe joint as well as even the bedsheet hurts against it i feel rough overall at least i do not have vomiting,sharp joint pain sudden today notice redness toe joint bedsheet hurt feel rough overall not vomit,18
"I have been dealing with itchy watery eyes and my sinuses feel irritated, and I also notice I keep rubbing my eyes. It feels pretty intense today. I feel rough overall. On top of that, i do not have body aches.",Allergic Rhinitis,i have been dealing with itchy watery eyes and my sinuses feel irritated and i also notice i keep rubbing my eyes it feels pretty intense today i feel rough overall on top of that i do not have body aches,deal itchy watery eye sinus feel irritated notice rub eye feel pretty intense today feel rough overall not body ache,1
"I started with painful pimples on my cheeks, and now I also have deep tender spots under my skin and some spots look swollen. It feels pretty intense today. On top of that, i do not have a fever. I have not noticed much improvement.",Acne,i started with painful pimples on my cheeks and now i also have deep tender spots under my skin and some spots look swollen it feels pretty intense today on top of that i do not have a fever i have not noticed much improvement,start painful pimple cheek deep tender spot skin spot look swollen feel pretty intense today not fever not notice improvement,0
"I have been dealing with a racing heart when nothing is happening and my mind keeps jumping to worst case scenarios, and I also notice constant worrying. It feels severe and hard to ignore. I feel off in myself. At the same time, i do not have a fever.",Anxiety Disorder,i have been dealing with a racing heart when nothing is happening and my mind keeps jumping to worst case scenarios and i also notice constant worrying it feels severe and hard to ignore i feel off in myself at the same time i do not have a fever,deal race heart happen mind keep jump bad case scenario notice constant worry feel severe hard ignore feel time not fever,3
"For for a while now, I have noticed mild headaches, occasional dizziness, and I sometimes feel fine but my readings stay high. On top of that, i do not have burning when i pee. I am finding it hard to focus. it does not seem to settle fully.",Hypertension,for for a while now i have noticed mild headaches occasional dizziness and i sometimes feel fine but my readings stay high on top of that i do not have burning when i pee i am finding it hard to focus it does not seem to settle fully,notice mild headache occasional dizziness feel fine reading stay high not burn pee find hard focus not settle fully,20
"I started with I feel worn down, and now I also have my throat feels irritated from coughing and I have a mild fever. It comes and goes but keeps bothering me. At the same time, i do not have red itchy eyes. I have been trying to take it easy.",Bronchitis,i started with i feel worn down and now i also have my throat feels irritated from coughing and i have a mild fever it comes and goes but keeps bothering me at the same time i do not have red itchy eyes i have been trying to take it easy,start feel wear throat feel irritated cough mild fever come go keep bother time not red itchy eye try easy,7
"I have had some patches are flaky for on and off lately, and I keep noticing soap seems to irritate it as well as itching that gets worse at night. I feel off in myself. One thing I can say is, i do not have a cough.",Eczema,i have had some patches are flaky for on and off lately and i keep noticing soap seems to irritate it as well as itching that gets worse at night i feel off in myself one thing i can say is i do not have a cough,patch flaky lately notice soap irritate itching get bad night feel thing not cough,14
"For for quite a while, I have noticed abdominal discomfort that comes and goes, diarrhea on some days, and constipation on other days. At the same time, i do not have a skin rash. it is making simple tasks feel harder. I notice it more at certain times of day.",IBS,for for quite a while i have noticed abdominal discomfort that comes and goes diarrhea on some days and constipation on other days at the same time i do not have a skin rash it is making simple tasks feel harder i notice it more at certain times of day,notice abdominal discomfort come go diarrhea day constipation day time not skin rash make simple task feel hard notice certain time day,22
"I started with the joint feels very tender, and now I also have walking is painful and sudden severe pain in my big toe. It feels mild but persistent. One thing I can say is, i do not have a cough. I notice it more at certain times of day.",Gout,i started with the joint feels very tender and now i also have walking is painful and sudden severe pain in my big toe it feels mild but persistent one thing i can say is i do not have a cough i notice it more at certain times of day,start joint feel tender walk painful sudden severe pain big toe feel mild persistent thing not cough notice certain time day,18
"For most weeks lately, I have noticed I feel uncomfortable after some meals, the pain often eases after I use the toilet, and constipation on other days. At least, i do not have a fever. it is getting in the way of my normal day. I notice it more at certain times of day.",IBS,for most weeks lately i have noticed i feel uncomfortable after some meals the pain often eases after i use the toilet and constipation on other days at least i do not have a fever it is getting in the way of my normal day i notice it more at certain times of day,week lately notice feel uncomfortable meal pain ease use toilet constipation day not fever get way normal day notice certain time day,22
"I feel it keeps coming back in the same spots, itchy patches on my elbows, and the patches look well defined today. It feels mild but persistent. I am uncomfortable enough that it is affecting my routine. It is really starting to get on my nerves. At least, i do not have a cough.",Psoriasis,i feel it keeps coming back in the same spots itchy patches on my elbows and the patches look well defined today it feels mild but persistent i am uncomfortable enough that it is affecting my routine it is really starting to get on my nerves at least i do not have a cough,feel keep come spot itchy patch elbow patch look define today feel mild persistent uncomfortable affect routine start nerve not cough,27
"Lately I feel like I have even small tasks feel heavy, I find it hard to focus, and very low energy. it is getting in the way of my normal day. It feels severe and hard to ignore. At least, i do not have a productive cough.",Depression,lately i feel like i have even small tasks feel heavy i find it hard to focus and very low energy it is getting in the way of my normal day it feels severe and hard to ignore at least i do not have a productive cough,lately feel like small task feel heavy find hard focus low energy get way normal day feel severe hard ignore not productive cough,12
"For since early this morning, I have noticed the joint feels very tender, a swollen hot joint, and even the bedsheet hurts against it. On top of that, i do not have burning when i pee. I am noticing it more as the day goes on. I have been trying to take it easy.",Gout,for since early this morning i have noticed the joint feels very tender a swollen hot joint and even the bedsheet hurts against it on top of that i do not have burning when i pee i am noticing it more as the day goes on i have been trying to take it easy,early morning notice joint feel tender swollen hot joint bedsheet hurt not burn pee notice day go try easy,18
"I have been dealing with trouble getting a full breath and my chest feels tight after walking, and I also notice I have to pause to catch my breath. It feels pretty intense today. It is really starting to get on my nerves. One thing I can say is, i do not have burning when i pee.",Asthma,i have been dealing with trouble getting a full breath and my chest feels tight after walking and i also notice i have to pause to catch my breath it feels pretty intense today it is really starting to get on my nerves one thing i can say is i do not have burning when i pee,deal trouble get breath chest feel tight walk notice pause catch breath feel pretty intense today start nerve thing not burn pee,6
"I have had my breath smells bad, I feel run down, and my glands feel swollen for since yesterday. It feels pretty intense today. I am noticing it more as the day goes on. At the same time, i do not have stomach cramps. it does not seem to settle fully.",Tonsillitis,i have had my breath smells bad i feel run down and my glands feel swollen for since yesterday it feels pretty intense today i am noticing it more as the day goes on at the same time i do not have stomach cramps it does not seem to settle fully,breath smell bad feel run gland feel swollen yesterday feel pretty intense today notice day go time not stomach cramp not settle fully,32
"I feel I feel pressure behind one eye, moving makes it worse, and a pounding headache today. It feels severe and hard to ignore. I am sleeping poorly because of it. It is knocking me about. One thing I can say is, i do not have a cough.",Migraine,i feel i feel pressure behind one eye moving makes it worse and a pounding headache today it feels severe and hard to ignore i am sleeping poorly because of it it is knocking me about one thing i can say is i do not have a cough,feel feel pressure eye move make bad pound headache today feel severe hard ignore sleep poorly knock thing not cough,25
"Lately I feel like I have a sore chest from coughing, bringing up mucus when I cough, and the cough is hanging on. it is making simple tasks feel harder. It feels pretty intense today. One thing I can say is, i do not have burning when i pee.",Bronchitis,lately i feel like i have a sore chest from coughing bringing up mucus when i cough and the cough is hanging on it is making simple tasks feel harder it feels pretty intense today one thing i can say is i do not have burning when i pee,lately feel like sore chest cough bring mucus cough cough hang make simple task feel hard feel pretty intense today thing not burn pee,7
"Lately I feel like I have neck tension with a headache, I can still function but it is annoying, and a dull band like headache. it is getting in the way of my normal day. It feels moderate and annoying. One thing I can say is, i do not have flashing lights.",Tension Headache,lately i feel like i have neck tension with a headache i can still function but it is annoying and a dull band like headache it is getting in the way of my normal day it feels moderate and annoying one thing i can say is i do not have flashing lights,lately feel like neck tension headache function annoying dull band like headache get way normal day feel moderate annoying thing not flash light,31
"For for a long time, I have noticed feeling empty, even small tasks feel heavy, and very low energy. At the same time, i do not have a rash. I am sleeping poorly because of it. I do not think it is from anything obvious.",Depression,for for a long time i have noticed feeling empty even small tasks feel heavy and very low energy at the same time i do not have a rash i am sleeping poorly because of it i do not think it is from anything obvious,long time notice feel small task feel heavy low energy time not rash sleep poorly not think obvious,12
